Job Title,Company,Location,Description
Technical Solutions Architect,Dotsquares,Jaipur,"Asp .Net
 Proficient in C#, Asp.Net, MVC, Web API, Entity Framework, LINQ, and other .Net technologies.
 Experience with front-end technologies such as HTML, CSS, JavaScript, Angular, Blazor or React.
 Solid understanding of database design and development, including SQL Server and ORM frameworks.
 Knowledge of cloud platforms such as Azure or AWS and related services.
 Experience with DevOps practices, CI/CD pipelines, and automated testing.

Drupal
 Minimum 5+ years of experience in working on Drupal sites 7.x Or 8.x
 Experience in developing front end technologies, including HTML, CSS, JavaScript, JSON, JQuery
 Experience in Agile methodologies
 Knowledge of GIT
 Ability to write modules that create custom solutions to client problems
 Knowledge of any one framework is must - Code Ignitor, Cake PHP, Laravel, Symphony

Salesforce

 Lead custom development on the salesforce.com platform.

 Must have 5+ yrs of experience in Salesforce ecosystem.

 Lead a team of 10 -15 salesforce individuals.

 Must have hands on with Salesforce Clouds as Sales / Service / Marketing / Experience /Community etc.

 Function as Senior SFDC Developer and suggest bestpractice Salesforce.com or Force.com

solutions to address user requirements.

 Preparing formal project documentation including system design documents, Current & Future state diagrams, test cases and user manual.

 Ability to understand and assess proposed solutions in order to determine how closely they meet requirement and if they will deliver the desired business outcomes.

 Assisting business users during UAT, Analyzes and resolves production issues during warranty period.

 Design, build, and deliver tailored solutions using Salesforce and other connected technologies.

 Provide day-to-day administration, troubleshooting, and maintenance for the Salesforce platform.

 Support the continued build-out of key reports and dashboards, data administration, and integrity upkeep.

 Understand and implement business functionality from a technical perspective.

 Document IT work instructions for deployment and release management within Salesforce.

 Collaborate with cross-functional teams to gather business requirements and translate them into technical solutions.

Zoho

5+ Experience in building or implementing requirements on any Zoho application

 Handle all basic administrative functions including user account maintenance, reports, dashboards other routine tasks.

 Designed user groups, attributed roles and access rights and defined sharing and viewing rules.

 Designing of organization processes in ZOHO one application using Workflow Rules, Schedules, Actions, Assignment Rules, Case Escalation Rules, Scoring Rules, Marketing Attribution, and Segmentation.

 Customized and configured Zoho One applications and developed custom function in Deluge.

 Experienced in integration of Zoho across internal database & other resources.

 Experience with 3rd party integration.

 Experienced in design & development of Zoho Creator Applications.

 Experience & Proficiency with Zoho Deluge required.

 Good problem-solving skill

Data Engineer :
 4+ years of experience in data engineering and cloud data processing services (AWS, Azure)

 Knowledge of SQL and Python, other languages are preferable (PySpark)

 Good understanding of ETL tools like Glue, Data Factory, and data modeling

 Experience in Big Data technologies (Hadoop, Spark, Databricks, Snowflake, Data Lake, Delta Lake)

 Open mindset, ability to quickly adapt to new technologies

 Good analytical and creative problem-solving skills,"
Django Developer,Chikitsa.io,Jaipur,"Company Description

Chikitsa.io is a Web 3.0 secure, cloud-based smart HIMS solution based in Jaipur. Our platform offers innovative E-Prescription modules, real-time insights into hospital operations, a patient-centric mobile application, and ABHA Compliant HMIS for seamless insurance claim settlement. We focus on digitalizing end-to-end hospital operations while maintaining familiarity for healthcare providers and ensuring coordinated patient care.

Role Description

This is a full-time on-site role for a Django Developer at Chikitsa.io in Jaipur. The Django Developer will be responsible for back-end web development, software development, front-end development, programming, and working with databases. The role involves collaborating with cross-functional teams to enhance the platform's functionalities and user experience.

Qualifications
 Back-End Web Development and Software Development skills
 Front-End Development and Programming skills
 Experience with databases
 Strong problem-solving and analytical abilities
 Ability to work collaboratively in a team environment
 Excellent communication and interpersonal skills
 Bachelor's degree in Computer Science or related field

Technical Skills:

Proficiency in Python:
 Django is a Python framework, so a deep understanding of Python is essential, including object-oriented programming (OOP), data structures, and algorithms.

Django Framework:
 Understanding of Django's core features like Models, Views, Templates (MVT architecture), ORM, middleware, and forms.
 Familiarity with Django Rest Framework (DRF) for building APIs.
 Experience with Djangos authentication and authorization systems.

Database Management:
 Working knowledge of relational databases like PostgreSQL, MySQL, and SQLite.
 Experience in writing complex SQL queries and using Django ORM to interact with databases.

Frontend Development:
 Basic knowledge of HTML, CSS, and JavaScript to integrate with Django templates.
 Familiarity with frontend frameworks like React, Vue.js, or Angular (optional but useful for building more dynamic web apps).

Version Control (Git):
 Understanding Git for source code management, collaborating with teams, and versioning applications.

Deployment & DevOps:
 Experience with web servers (e.g., Nginx, Gunicorn) and deploying Django applications to cloud platforms like AWS, DigitalOcean, or Heroku.
 Knowledge of Docker and containerization is a plus.

APIs & Web Services:
 Experience in building and consuming RESTful APIs.
 Understanding of GraphQL (optional).

Security Practices:
 Familiarity with security measures in Django (e.g., preventing XSS, CSRF, and SQL injection).
 Understanding Djangos security features like user authentication, SSL/TLS, and session management.

Testing:
 Knowledge of testing frameworks in Django such as pytest or Djangos own testing tools to ensure code reliability.

Asynchronous Processing:
 Familiarity with asynchronous task queues like Celery for handling background tasks.

Caching:
 Experience with caching mechanisms (Redis, Memcached) to improve performance.,"
MERN/MEAN/Full Stack developer,All On Block Corporation,Jaipur,"All On Block is currently looking for MEAN Stack developer. This role will be

working hand-in-hand with a veteran team of agile developers that are creating

exciting Blockchain solutions. This role will collaborate with other senior

application specialist in the organization to create an atmosphere of group

contribution in addition to individual execution that makes the organization more

efficient and knowledgeable.

Node.js,HTML, CSS,Angular.js, ReactJS,GO,LINUX,

Docker-Image, AWS, Kafka , SSL Certificates

Database

MongoDB, MySQL

Other Tools

Bitbucket,Swagger ,JIRA, Confluence Skills:- Javascript, PHP, Python, Ruby on Rails (ROR), NodeJS (Node.js), MongoDB, LAMP Stack and React.js,"
Full Stack Backend Developer,Bon,Jaipur,"About Bon


What You'll Do

As a Full Stack Backend Developer at Bon, you'll be responsible for building and maintaining the backbone of our app, ensuring a seamless user experience. You will work closely with our front-end engineers, product, and business teams to develop and scale backend services that power Bon's innovative fintech solutions.

Responsibilities:
 Design, develop, and maintain scalable backend systems, APIs, and services to support our financial super app.
 Collaborate with front-end developers to integrate user-facing elements with server-side logic.
 Work with databases (SQL, NoSQL) to manage, query, and optimize large datasets, ensuring high availability and performance.
 Develop and maintain microservices architecture to handle real-time data and asynchronous workflows (message queues, event-driven systems).
 Build and maintain infrastructure for CI/CD pipelines, automated testing, and deployment.
 Optimize application performance, scalability, and reliability, addressing any issues proactively.
 Participate in code reviews, design discussions, and contribute to improving the development workflow.
 Work with cloud platforms (AWS, GCP, Azure) to deploy and manage applications at scale.
 Stay up-to-date with emerging technologies and fintech trends, contributing to Bon's tech roadmap.

What We're Looking For

Were seeking developers who are passionate about fintech, solving complex technical problems, and building impactful products.

Qualifications:
 Proficiency in backend programming languages like Node.js, Python, Go, or Java.
 Hands-on experience with RESTful APIs, GraphQL, and microservices architecture.
 Solid understanding of databases: both SQL (PostgreSQL, MySQL) and NoSQL (MongoDB, Redis).
 Experience working with cloud platforms (AWS preferred) for infrastructure management, deployment, and scaling.
 Strong understanding of modern DevOps practices: CI/CD, Docker, Kubernetes, Terraform.
 Familiarity with security standards and practices: OAuth2, JWT, encryption, firewalls, and data protection.
 Strong debugging and problem-solving skills with attention to detail.
 Experience working in Agile teams, using tools like JIRA, Git, Confluence.
 Excellent communication skills, with the ability to collaborate effectively with remote teams across time zones.
 Bonus: Experience with front-end frameworks like React.js, Next.js, or Vue.js.
 iOS: Experience building iOS apps.
 APIs: Strong experience integrating financial APIs.

Why Join Bon 
 Innovative Mission: Be part of a fintech revolution that's rewarding people for their financial discipline at a global scale.
 Global Team: Work with a diverse, talented team from across the world.
 Flexible Work Environment: Enjoy remote work with the flexibility to work from anywhere.
 Professional Growth: Were a startup, and youll have the opportunity to wear many hats and grow quickly.
 Impact: Your work will directly influence the future of financial services and how consumers interact with money.,"
Hiring For Full Stack Developer,Latisha Interprises,Varanasi,"We are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Full stack developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.
Full Stack Developer Responsibilities:Developing front end website architecture.Designing user interactions on web pages.Developing back-end website applications.Creating servers and databases for functionality.Ensuring cross-platform optimization for mobile phones.Ensuring responsiveness of applications.Working alongside graphic designers for web design features.Seeing through a project from conception to finished product.Designing and developing APIs.Meeting both technical and consumer needs.Staying abreast of developments in web applications and programming languages.
Other DetailsSalary-49,000/- to 65,000/-Required Experience-0 To 10Minimum Age-18
Full Stack Developer Requirements:Qualification Required-Diploma,B.tech,M.tech,A bachelor's degree in computer science, engineering, or related field.Work Department-Full Stack Developer,Machine learning,Application Analyst,Web Developer
Work Industry-IT,Skills-Proficiency with server-side languages such as Python, Ruby, Java, PHP, and .Net.for more clarification contact to this number-hidden_mobile
Also Share Your CV hidden_email
RegardsHR Placement Team"
Lead Consultant - PL/SQL developer-ITO085145,Genpact,Jaipur,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose  the relentless pursuit of a world that works better for people  we serve and transform leading enterprises, including the Fortune Global 500, with our deep business and industry knowledge, digital operations services, and expertise in data, technology, and AI.

Inviting applications for the role of Lead Consultant - PL/SQL developer

In this role, you will be responsible for developing, testing, implementing, and maintaining PL/SQL code for various applications and databases.

Responsibilities
 Design, develop, and maintain PL/SQL procedures, functions, packages, and triggers to support application requirements.
 Optimize SQL queries and database performance to ensure high availability and scalability.
 Work closely with software engineers and system architects to integrate PL/SQL code with application logic and business processes.
 Participate in database design and schema modeling activities to ensure data integrity and efficiency.
 Perform code reviews and collaborate with team members to ensure coding standards and best practices are followed.
 Troubleshoot and debug issues in PL/SQL code, identify root causes, and implement solutions.
 Create and maintain technical documentation for PL/SQL code, database schemas, and data models.
 Stay updated on emerging technologies and trends in database development and recommend improvements to existing systems and processes.
 Execute and manage day-to-day operations via ticketing tools and processes.
 Ensure appropriate tool is updated in accordance with SLA specifications with case notes, status updates and case closure information.
 Responsible to test the application features, should understand any testing tool.

Shift Requirement
 Flexible to work in morning/afternoon/evening/night shifts on a rotation basis- as the candidate may have to work with global teams in different time zones.

Qualifications we seek in you!

Minimum Qualifications / Skills
 B.E./ B. Tech/ MCA or equivalent

Preferred Qualifications/ Skills
 Advanced degree or certifications in database development or related field.
 Experience with other programming languages such as Java, Python, or C#.
 Knowledge of database security best practices and data encryption techniques.
 Experience working in Agile development environments and using version control systems such as Git.
 Should be able to handle client call, manage & mentor team.
 Proven experience as a PL/SQL developer or similar role, with a strong understanding of relational database concepts and SQL.
 Proficiency in writing efficient PL/SQL code, including stored procedures, functions, packages, and triggers.
 Experience with Oracle Database and related tools such as SQL Developer, TOAD, or PL/SQL Developer.
 Familiarity with database performance tuning and optimization techniques.
 Strong analytical and problem-solving skills, with the ability to troubleshoot complex issues and propose effective solutions.
 Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
 Attention to detail and a commitment to delivering high-quality solutions on time.
 Ability to be learn and apply new processes and tools.
 Technical understanding of products/services and/or ecosystem being supported.



Job

Lead Consultant

Primary Location

India-Jaipur

Schedule

Full-time

Education Level

Bachelor's / Graduation / Equivalent

Job Posting

Oct 29, 2024, 9:27:57 PM

Unposting Date

Ongoing

Master Skills List

Consulting

Job Category

Full Time,"
Net Developer,Celebal Technologies,Jaipur,"Job Brief: We are looking for a Full Stack Developer to produce scalable software solutions. You will be part of a cross-functional team that is responsible for the full software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable around both front end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility.

Responsibilities:
 Work with development teams and product managers to ideate software solutions.
 Design client-side and server-side architecture
 Build the front-end of applications through appealing visual design.
 Develop and manage well-functioning databases and applications.
 Write effective APIs.
 Test software to ensure responsiveness and efficiency.
 Troubleshoot, debug and upgrade software.
 Create security and data protection settings.
 Build features and applications with a mobile responsive design.
 Write technical documentation.
 Work with data scientists and analysts to improve software. Requirements:
 Proven experience as a Full Stack Developer or similar role
 Experience developing desktop and mobile applications.
 Familiarity with common stacks
 Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, React, Nodejs and .Net)
 Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)
 Familiarity with databases (e.g. MySQL, NoSQL), Cloud knowledge (Azure, AWS)
 Excellent communication and teamwork skills
 Great attention to detail  Organizational skills
 An analytical mind
 Degree in Computer Science, Statistics, or relevant field

Technical Skills: HTML, CSS, React, .Net, JavaScript, Node, SQL, NoSQL and Cloud knowledge (Azure, AWS)

Non-Technical Skills:
 Great communicational and interpersonal skills
 Excellent time management skills
 Knows how to work with a team.
 An analytical mind
 Experience  3.5+ Years

Job Types: Full-time, Permanent


Benefits:
 Flexible schedule
 Health insurance
 Paid sick time
 Paid time off
 Provident Fund
 Work from home

Schedule:
 Morning shift
 Rotational shift
 US shift

Ability to commute/relocate:
 Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Required)

Education:
 Bachelor's (Required)

Experience:
 .NET: 2 years (Required)
 azure: 1 year (Required),"
Full Stack Developer,RENUKA INTERPRISES,Canada,"We are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Full stack developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.
Full Stack Developer Responsibilities:Developing front end website architecture.Designing user interactions on web pages.Developing back-end website applications.Creating servers and databases for functionality.Ensuring cross-platform optimization for mobile phones.Ensuring responsiveness of applications.Working alongside graphic designers for web design features.Seeing through a project from conception to finished product.Designing and developing APIs.Meeting both technical and consumer needs.
Other DetailsSalary-49,000/- to 65,000/-Required Experience-0 To 4Minimum Age-18
Full Stack Developer Requirements:Qualification Required-Diploma,B.tech,M.tech,Degree in computer science.Work Department-DeveloperWork Industry-IT,
Skills-Proficiency with server-side languages such as Python, Ruby, Java, PHP, and .Net.for more clarification contact to this number-hidden_mobile
hidden_email
RegardsHR Placement Team"
Junior AI/ML + Data Engineer,PSI India,Jaipur,"ID: 305 | 0-2 yrs | Jaipur | careers

Data Engineer cum AI/ML Developer

Job Overview:

We are seeking a motivated Data Engineer cum AI/ML developer to join our dynamic team. The ideal candidate will possess a good understanding of data engineering principles, along with some hands on in AI/ML techniques. The candidate should be proficient in tools such as PySpark, Python, and modern data warehouse technologies. Knowledge of classical ML techniques, data engineering certifications in Azure or AWS, and practical experience in deployment of data and ML pipelines are essential for success in this role.

Basic Qualifications:
 Practical exposure of building data pipeline using Py-Spark and Python
 Practical exposure of building ML model on (Classical machine learning , NLP or LLMs)
 Strong problem-solving skills and ability to work in a fast-paced environment.
 Excellent communication and teamwork abilities.

Preferred Qualifications:
 Knowledge of Azure or AWS data technologies like Glue, Data Factory, HD Insight, Lambda, Azure Function , AWS S3, Azure Blob Storage etc.
 Production level deployment experience.

Good to have:
 Certification in Azure Data Engineer Associate (DP-203) or AWS Data Engineer Associate is a plus.

Key Responsibilities:
 Implement data modelling techniques to optimise storage and retrieval efficiency.
 Utilise PySpark, Python, and other relevant tools to process and analyse large datasets.
 Collaborate with cross-functional teams to understand data requirements and deliver solutions that meet business needs.
 Apply classical ML techniques such as regression and classification to solve business problems.
 Experience with tools such as LLM, Lang chain, and Vector database is a plus.
 Excellent problem-solving skills and ability to work in a fast-paced environment.
 Deploy ML models and data pipelines in production environments.
 Stay updated with the latest advancements in data engineering, AI, and ML technologies.
 Provide technical guidance and mentorship to junior team members.

Qualifications:
 Bachelor's or Master's degree in Computer Science, Data Science, or a related field.
 Strong communication and interpersonal skills, with the ability to collaborate effectively with team members and stakeholders.

Location: Jaipur and Indore,"
Machine Learning Engineer,VertexPlus,Jaipur,"Currently we are looking for Python & AI/ML Developer.

Role: Python & AI/ML Developer

Location: Jaipur

Experience: 3+ Years

Roles& Responsibilities:
 Proven-deep-expertise with Python programming for Automation & Web development.
 Experience in working with frameworks like Django, Flask.
 Experience in AI/ ML projects, particularly in optimizing and selection of models that align with the business requirement.
 Object-oriented concepts & design patterns.
 Excellent analytical and problem-solving skills.
 Experience with Git or other version control
 Experience with any RDBMS and strong SQL knowledge
 Working experience with Unix / Linux
 Working experience with Azure cloud
 Communicate directly with onsite and customer.

About VertexPlus:

VertexPlus Technologies Private Limited is a Global Technology Company delivering excellence across different industry verticals. With more than a decade's experience in providing innovative technology solution and service models for business impact  We ensure excellence in Consulting, IT Solutions and Digital Media Services to clients across the globe through carefully crafted strategy and execution approach combining process proficiency, technical expertise and domain knowledge. With a large pool of highly talented professionals, we always value continuous research and innovation to deliver quality solutions and services to fulfill dynamic requirements of clients worldwide. VertexPlus always strives to adapt futuristic approaches and technologies to help transform organizations into agile enterprise. Please visit our website at www.vertexplus.com,"
Senior Software Developer,Divya Staffing Solution,Qatar,"A Senior Software Developer or simply Senior Developer is someone who has mastered programming and seamlessly designs, codes, and tests a system. Owing to their vast experience, senior software developers bring the best blend of technology and management to leverage asynchronous programming, queuing, caching, logging, security, and persistence when needed.
Software Developer ResponsibilitiesDesigning, coding and testing software applications and systems. A Senior Software Developer will also be responsible for debugging these systems and writing and maintaining scalable code.Must be able to provide technical guidance and coach the team and mentor junior developers. Regular code reviews should be conducted and best practices promoted within the team.Should be able to effortlessly collaborate with other stakeholders including product manager and designers to understand requirements and prepare technical specification documents.Takes ownership of projects and is adept at time and task management.Review projects regularly and optimise performance to minimise bottlenecks and improve efficiency and scalability.
Other DetailsSalary-42,000/- to 73,000/-Required Experience-0 To 4Minimum Age-18
Software Developer RequirementsQualification Required-Diploma,B.tech,M.tech,IT,EngineeringA bachelor's degree in computer science, engineering, or related field.Work Department- Senior Software DevelopersWork Industry-IT,Skills-Must be a full-stack developer and understand concepts of software engineering.for more clarification contact to this number-hidden_mobile
Also Share Your CV hidden_email
RegardsHR Placement Team"
Backend Developer Internship,TezHire AI,Jaipur,"About TezHire AI

TezHire AI Pvt Ltd, founded in 2022, is revolutionizing the hiring industry with an AI-powered platform that automates and optimizes the recruitment process. Our mission is to make hiring smarter, faster, and more efficient for businesses. We thrive on innovation, collaboration, and a passion for technology-driven solutions that shape the future of recruitment.

About the Role

We are looking for a motivated Backend Intern to join our team in Jaipur. This is an exciting opportunity for engineering graduates from any year to gain practical experience in backend development using technologies like Python, AWS Lambda, and DynamoDB. As part of the backend team, you will work on building scalable and efficient services that power our AI-driven platform.

Key Responsibilities
 Develop and maintain serverless backend services using Python and AWS Lambda.
 Work with DynamoDB to manage and store data efficiently.
 Design, implement, and optimize RESTful APIs to integrate with frontend applications.
 Troubleshoot and resolve backend issues to ensure high availability and performance.
 Collaborate with the front-end and product teams to deliver seamless user experiences.
 Continuously improve and optimize backend architecture for scalability and performance.
 Stay up to date with cloud computing trends and serverless technologies.

Requirements
 Engineering Graduate (open to any year of graduation).
 Knowledge of Python and AWS Lambda.
 Familiarity with DynamoDB and serverless architecture.
 Basic understanding of API development and integration.
 Strong problem-solving skills and attention to detail.
 Eagerness to learn and work in a collaborative, fast-paced startup environment.
 Located in Jaipur.

Nice to Have
 Experience with other AWS services like API Gateway, S3, and CloudWatch.
 Familiarity with version control systems like Git/GitHub.
 Basic knowledge of cloud security and best practices.
 Exposure to agile development methodologies.

What We Offer
 Hands-on experience working on live projects in a startup environment.
 Mentorship from experienced engineers in backend development and cloud computing.
 Competitive stipend with the potential for a full-time role after the internship.
 Opportunities for professional growth in cloud technologies and backend services.
 Be part of a growing team and contribute to building an innovative AI-driven platform.

Join TezHire AI Pvt Ltd and help shape the future of hiring through cutting-edge technology and cloud computing solutions!,"
Full Stack Developer Trainer,Navriti Technologies,Jaipur,"Job Title: Full Stack Developer Trainer

Location: Poornima University, Jaipur

Duration

Slot 1: 22nd July - 31st July 2024

Slot 2 : Sept last week or Oct first week 2024

Job Type: Part-time/Contractual

Overview: Poornima University, Jaipur, is seeking a skilled Full Stack Developer Trainer to conduct technical sessions in workshop mode for 3rd year B.Tech+FDA students starting from July 2024. The trainer will play a pivotal role in equipping students with the latest industry-relevant skills in full-stack development through hands-on workshops conducted on-campus.

Responsibilities
 Design and deliver workshop-style technical sessions on full-stack development topics including but not limited to:
 Front-end technologies (HTML, CSS, JavaScript, React/Angular/Vue.js)
 Understanding of MERN Foundation
 Back-end technologies (Node.js, Python/Django, Ruby on Rails, Java/Spring)
 Database management (MySQL, PostgreSQL, MongoDB)
 API design and integration
 Version control systems (Git)
 Deployment and DevOps practices
 Develop practical assignments and projects that enhance students"" understanding and application of full-stack development concepts.
 Provide mentoring and guidance to students on individual or group projects related to full-stack development.
 Assess and evaluate students"" progress, providing constructive feedback for improvement.
 Collaborate with faculty members to align technical sessions with the curriculum and learning objectives of the B.Tech+FDA program.

Requirements
 Proven professional experience of at least 5 years as a Full Stack Developer or a similar role with hands-on expertise in both front-end and back-end technologies.
 Strong proficiency in web development languages and frameworks.
 Familiarity with modern development tools and environments (IDEs, package managers, build tools).
 Knowledge of cloud platforms (AWS, Azure, Google Cloud), containerization (Docker), and CI/CD pipelines.
 Excellent communication skills with the ability to convey technical concepts effectively to students.
 Passion for teaching and mentoring, with a commitment to fostering a supportive and engaging learning environment.
 Bachelors degree in Computer Science, Software Engineering, or a related field. Relevant certifications and/or industry experience will be an advantage.

Additional Information
 This position is part-time/contractual, requiring on-campus presence during scheduled workshop sessions.
 The role offers an opportunity to contribute to the professional development of aspiring engineers and shape their skills in full-stack development.

Application Process: Interested candidates are invited to apply for this opportunity.

Skills:- Fullstack Developer, Web Development, Backend testing, MySQL, Java, NodeJS (Node.js), Trainer, Teacher and Professor,"
Software Engineer - PHP Developer,KDK Softwares,Jaipur,"Job Description- PHP Developer

Job Role: PHP Developer

Job Title: Software Programmer

Experience: 4- 8 Years

Age: 25 - 40

Type of position: Full-Time

Education Requirement


Graduate: B. Tech or BCA/ MCA


Professional Qualification: PHP

Location: Jaipur

Experience Required:


Must Have

o Min 3 Years working in PHP

o Working knowledge of Linux

o Proficient with code versioning tools Git.


Desired to have

o Working on Python, Java

o Working on Laravel Framework

Specific skills:


Must Have

o Knowledge of Advanced SQL, MySQL

o Familiarity with limitations of PHP as a platform and its workarounds.


Desired to have

o Ability to project manage.

o Good problem-solving skills.

Job Summary:

This is an exciting role of PHP Developer where in you will get to work in the Product

Development for Tax Software. You will be responsible for project planning, requirements

understanding, proposing architecture, detailed design, execution, and timely deliverables with

the highest quality standards.

Job Description:


Integration of user-facing elements developed by front-end developers

KDK/Policy/HR/24.0


Writing back-end code and Build efficient, testable, and reusable PHP modules.


Solve complex performance problems and architectural challenges


Integration of data storage solutions


Work in a fast-paced environment, and willing to solve challenges often.


Conducting analysis of website and application requirements.


Developing back-end portals with an optimized database.


Troubleshooting application and code issues.


Responding to integration requests from front-end developers.


Finalizing back-end features and testing web applications.


Updating and altering application features to enhance performance.,"
Java/Salesforce Developer (Japanese/German/Spanish),Salesforce,Jaipur,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.

Job Category

Customer Success

Job Details

About Salesforce

Were Salesforce, the Customer Company, inspiring the future of business with AI+ Data +CRM. Leading with our core values, we help companies across every industry blaze new trails and connect with customers in a whole new way. And, we empower you to be a Trailblazer, too  driving your performance and career growth, charting new paths, and improving the state of the world. If you believe in business as the greatest platform for change and in companies doing well and doing good  youve come to the right place.

Salesforce Technical Consultants deliver solutions that transform our customers businesses and their customers experiences. This role involves working with teams to discover, design, code and deploy Salesforce Platform solutions. 75% of this role involves programming, using Apex (Salesforces Java-like language), JavaScript, and other development languages and tools.

The ideal technical consultant is a demonstrated thought leader in technical aspects of customer and partner engagements that lead to the successful delivery of enterprise desktop, cloud, and/or mobile solutions, including enterprise integrations leveraging middleware tools and platforms. Developers deliver technical solutions to meet the customers business and technical requirements. Developers lead the evaluation of options and subsequent presentation and education of the customer/partner. They will also identify and proactively manage risk areas, and commit to seeing issues through to complete resolution.

YOUR IMPACT: Responsibilities
 Programming solutions in Salesforces Apex programming language, JavaScript, Lightning Web Component Framework and JS Frameworks with API integrations to cloud and back-office systems
 Developing, optimizing and deploying Salesforce applications
 Demonstrating key Salesforce capabilities and features
 Learn and use Salesforces Services team best practices
 Help clients consistently meet/exceed goals and metrics
 Contribute to customer success through front and back-end solution development and release management
 Deliver high customer satisfaction (CSAT)
 Continued professional growth and development
 Travel to client site (average of 50%), but may be higher or lower based on the client engagement

Minimum Qualifications
 BA/BS degree or foreign equivalent
 3-5+ years of relevant experience
 Strong problem solving skills
 Experience using technical skills to solve real-world business problems
 Strong programming skills with JavaScript and one object-oriented language (eg Java, C#, Python)
 Data modeling (objects, fields and relationships; able to model 1:M and M:M relationships)
 Salesforce certifications and Platform development experience are a plus
 Customer engagement/facilitation skills
 Strong communication skills, both written and verbal
 Ability to work independently and be a self-starter
 Specializes in gathering and analyzing information and designing comprehensive solutions that are flexible and adaptable to clients needs
 Cutting edge innovator who continually studies new technologies and functionality, and is involved in projects that push the capabilities of existing technologies
 Strong potential to continue to grow in career to higher levels of Services or other positions at Salesforce

Preferred Qualifications
 Strong presentation skills. Able to effectively present and defend point of view to a variety of audiences
 Prior Salesforce development experience (Apex programming language and Lightning Web Components) highly desired, but not required
 Other highly desired, but not required, technical experience includes: JS Frameworks, SQL, APIs, Testing Tools, DevOps.
 Highly beneficial to have any Salesforce product certifications prior to joining. It is expected that you will gain the following certifications as part of the role requirement and on-boarding process in the first 3 months:
 Salesforce Certified Administrator
 Salesforce Certified Platform App Builder
 Salesforce Certified Platform Developer I
 Salesforce Certified JavaScript Developer I

Attributes
 Leader, who can communicate the value of Cloud features
 Results-driven, tenacious, drive to succeed in a fast-paced environment
 Ability to learn quickly and adapt to change
 Positive attitude; ability to motivate others

Accommodations

If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form.

Posting Statement



Salesforce welcomes all.,"
Freelance Software Engineer (AI & ML) - Jaipur,Focuskon Technologies India Pvt Ltd,Jaipur,"Job Title: AI Developer (Specializing in OpenAI and Microsoft Technologies)

Company Overview:

Focuskon Technologies India Pvt Ltd is a technology company specializing in creating Document SOPs and Video SOPs. We provide our clients with training and process management solutions that save time and reduce costs.

Job Description:

We are seeking an AI Developer proficient in OpenAI and Microsoft technologies (such as GPT, DALL-E, and Azure AI) to develop a custom software solution for us. This software will automate our SOP creation process, enabling us to produce SOPs more efficiently and accurately.

Key Responsibilities:

- Develop custom solutions using OpenAI and Microsoft AI technologies.

- Understand SOP creation and management processes and develop software solutions to automate them.

- Train and optimize AI models and algorithms for our specific use cases.

- Actively participate in all phases of the Software Development Life Cycle (SDLC).

- Collaborate with team members. and stakeholders to share requirements and progress.

Qualifications:

- Bachelors degree in Computer Science, AI, Machine Learning, or a related field.

- At least 2-3 years of experience in AI/ML development, specifically with Open AI and Microsoft technologies.

- Strong programming skills in Python, JavaScript, or other relevant languages.

- Understanding of AI principles, machine learning models, and natural language processing.

- Excellent problem-solving skills and innovative thinking.

- Good communication skills and ability to work in a team.

Job Type: Freelance

Salary: 50,000.00 - 200,000.00 per month

Application Question(s):
 Are you From Jaipur , We want to Hire team member from jaipur only

Education:
 Bachelor's (Preferred)

Experience:
 total work: 5 years (Preferred)

Work Location: Remote

Speak with the employer
+91 hidden_mobile,"
